pl_name,pl_bmasse,pl_rade,pl_eqt,st_teff,sy_dist
Kepler-1167 b,3.57,1.71,1419.0,4971.0,820.905
Kepler-1740 b,11.0,3.32321414,858.0,5705.0,1061.77
Kepler-1581 b,0.437,0.8,1108.0,6022.0,493.175
Kepler-644 b,10.1,3.15,1655.0,6747.0,1318.05
Kepler-1752 b,18.7,4.54060463,419.0,5446.0,962.888
Kepler-280 c,4.7,2.01,1088.0,5744.0,780.361
Kepler-1208 b,5.99,2.32,665.0,5001.0,825.176
Kepler-263 c,6.66,2.47,386.0,5265.0,754.747
Kepler-1101 b,6.66,2.47,393.0,5614.0,742.473
HD 168746 b,85.8141,11.1,900.0,5570.0,41.5681
TOI-2406 b,15.6,2.86,449.0,3100.0,55.419
HD 18599 b,24.1,2.6,863.0,5145.0,38.5653
Kepler-560 b,3.61,1.72,298.0,3556.0,109.308
Kepler-150 d,8.2,2.79,734.0,5560.0,891.092
Kepler-498 b,9.43,3.03,931.0,5744.0,938.844
Kepler-817 b,60.2,9.03,1124.0,5861.0,1484.46
Kepler-937 b,13.4,3.72,495.0,6095.0,1571.46
K2-10 b,25.2,3.773,649.0,5533.0,272.36
Kepler-571 b,7.46,2.64,978.0,5527.0,723.875
Kepler-1458 b,8.05,2.76,493.0,5653.0,544.45
Kepler-1600 c,4.43,1.94206512,786.0,5119.0,1030.81
Kepler-221 d,3.61,2.73,712.0,5243.0,385.231
Kepler-626 b,5.86,2.29,784.0,5813.0,635.643
Kepler-1549 b,7.13,2.57,286.0,5324.0,803.052
K2-62 c,4.62,1.99,495.0,4455.0,112.467
Kepler-1149 b,2.67,1.44,1128.0,5833.0,1217.73
Kepler-1288 b,1.46,1.12,2017.0,6132.0,814.078
Kepler-128 b,3.79,1.421,968.0,6072.0,396.379
Kepler-1245 b,2.67,1.44,1043.0,5306.0,805.936
Kepler-1068 b,12.8,3.63,702.0,5806.0,1473.61
Kepler-150 e,9.91,3.12,544.0,5560.0,891.092
Kepler-272 c,97.8,1.79,947.0,5297.0,889.608
Kepler-152 c,6.3,2.39,326.0,5088.0,441.09
Kepler-1506 b,2.3,1.32,783.0,5676.0,2366.02
CoRoT-3 b,6883.91,11.32,1695.0,6740.0,768.771
HD 205739 b,435.41,13.6,,6176.0,92.5087
HD 224693 b,222.481,14.0,,5894.0,93.5015
HD 16417 b,22.1,5.0,,5841.0,25.3936
HD 19994 b,435.41,13.6,,6188.0,22.5242
GJ 179 b,301.93698665,13.8,,3370.0,12.356
GQ Lup b,6356.0,33.6,2650.0,4360.0,151.169
HD 37605 b,854.9627,13.2,,5329.0,46.7864
HD 33283 b,104.56607,12.5,,5935.0,89.8623
HD 9446 b,222.472,14.0,,5793.0,50.3503
HD 134987 c,260.0,13.9,,5585.0,26.1804
HD 110014 b,3524.59,12.4,,4445.0,100.758
HD 79498 b,425.8922,13.6,,5748.0,48.9489
HD 45652 b,137.62039,14.3,,5294.0,34.8541
HIP 79431 b,667.415,13.4,,3191.0,14.5324
GJ 876 b,723.2235,13.3,,3293.74,4.67517
HD 86226 b,143.0235,14.3,176.0,5863.0,45.683
HD 47186 c,111.42,13.0,,5657.0,37.4574
HD 148156 b,270.144,13.9,,6308.0,57.1289
HD 86226 c,7.25,2.16,1311.0,5863.0,45.683
HIP 14810 c,416.3573,13.6,,5544.0,50.48
HIP 14810 b,1239.537,13.0,,5544.0,50.48
GJ 876 d,6.83,2.51,,3293.74,4.67517
GJ 876 e,14.6,3.92,,3293.74,4.67517
gam1 Leo b,2790.43,12.5,,4330.0,39.8883
HD 156411 b,235.18,14.0,,5900.0,56.8655
HD 8535 b,216.1244,14.0,,6136.0,55.4401
HD 37605 c,1013.8777,13.1,,5329.0,46.7864
HD 1605 c,1150.5446,13.0,,4915.0,88.8047
BD+20 2457 b,6807.63,12.1,,4137.0,1539.71
HD 240210 b,1655.82,12.8,,4297.0,372.405
CoRoT-17 b,772.29,11.43,1626.0,5740.0,1176.12
HD 132563 b,473.547,13.6,,6289.0,105.155
HD 55696 b,1357.12729789,12.9,,6012.0,77.9693
HD 148164 b,390.9309,13.7,,6032.0,77.1971
24 Sex c,273.32,13.9,,5098.0,72.0691
HD 22781 b,4338.2,12.3,,5027.0,32.6034
HD 148164 c,1640.0028,12.8,,6032.0,77.1971
HD 90156 b,17.98,4.43,,5599.0,21.9496
HD 45350 b,568.89,13.5,,5566.0,46.8733
MOA-2009-BLG-266L b,10.4,3.21,,,3040.0
Kepler-595 c,3.3,1.009,679.0,5138.5,643.009
Kepler-595 b,17.4,3.708,535.0,5138.5,643.009
HD 177830 c,47.6725,7.87,,4949.0,62.7674
OGLE-TR-111 b,174.799,11.421971,1019.0,5040.0,1068.33
PSR B1257+12 b,0.02,0.338,,,600.0
PSR B1257+12 d,3.9,1.8,,,600.0
HD 21749 c,3.7,0.892,701.0,4640.0,16.32
CoRoT-18 b,1102.82,14.68,1550.0,5440.0,764.889
Kepler-45 b,160.497,10.76,1000.0,3820.0,381.949
WASP-23 b,280.95,10.783,1076.55,5150.0,207.49
HD 107148 b,66.741,9.6,,5797.0,49.4156
SWEEPS-11 b,3082.82,12.666,,,8500.0
OGLE-TR-211 b,327.351,15.244,1686.0,6325.0,1515.26
Lupus-TR-3 b,257.431,9.976,,5000.0,773.409
OGLE-2005-BLG-390L b,5.5,2.21,50.0,,6600.0
HN Peg b,6991.57,11.7768,,6186.0,18.1186
MOA-2009-BLG-387L b,830.0,13.2,,,5690.0
GJ 674 b,11.09,3.33,,3600.0,4.54896
CoRoT-11 b,740.51,16.03,1657.0,6440.0,655.037
2MASS J04414489+2301513 b,2383.6,12.6,,2936.0,120.42398696
GJ 3634 b,8.4,2.83,,3517.0,20.3779
CoRoT-13 b,415.704,9.92,1700.0,5945.0,1148.93
OGLE-TR-10 b,197.046,14.011,1702.0,5950.0,1344.97
HD 27442 b,495.8,13.5,,4846.0,18.2704
GJ 3021 b,1071.04,13.1,350.0,5540.0,17.5559
CoRoT-8 b,69.92,6.39,870.0,5080.0,322.037
Kepler-18 c,17.3,5.49,899.0,5345.0,433.047
Kepler-18 b,6.9,2.0,1165.0,5345.0,433.047
HD 46375 b,71.8,10.0,,5285.0,29.5529
HD 221287 b,982.05,13.1,,6304.0,55.9231
HD 33564 b,2892.1,12.5,,6250.0,20.9531
HD 189733 b,359.1479,12.66617,1209.0,5052.0,19.7638
Kepler-4 b,24.472,4.002,1650.0,5857.0,487.916
WASP-38 b,1093.3352,13.78707,1250.0,6180.0,136.24
Kepler-30 c,640.0,12.3,411.0,5498.0,914.221
HAT-P-41 b,378.2177,22.97845,1941.0,6390.0,348.185
HIP 41378 b,9.06,2.419,970.67,6371.0,106.289
HIP 41378 c,6.53,2.505,765.87,6371.0,106.289
HIP 41378 d,4.6,3.54,367.0,6320.0,106.289
HIP 41378 e,12.0,4.92,335.0,6320.0,106.289
HIP 41378 f,12.0,9.2,294.0,6226.0,106.289
HD 106315 b,12.6,2.44,1153.0,6327.0,109.353
HD 106315 c,15.2,4.35,886.0,6327.0,109.353
LTT 1445 A b,2.73,1.34,431.0,3562.0,6.86929
LTT 1445 A c,1.54,1.147,508.0,3340.0,6.86929
HIP 41378 g,6.81,2.5,605.0,6371.0,106.289
Kepler-18 d,16.4,6.98,720.0,5345.0,433.047
HAT-P-37 b,371.528,13.204,1271.0,5500.0,390.594
HD 129445 b,797.74930157,13.3,,5646.0,67.4386
Kepler-419 c,2320.1,12.6,,6430.0,1011.36
HD 70573 b,1900.0,12.8,,5737.0,59.182
HD 47536 b,2330.0,12.6,,4380.0,122.536
WASP-67 b,136.6669,12.89035,1003.0,5200.0,189.469
CoRoT-14 b,2415.4,12.22,1952.0,6035.0,1744.6
MOA-2008-BLG-310L b,23.4,5.18,,,7700.0
Kepler-419 b,794.5,10.8,613.0,6430.0,1011.36
WASP-43 b,565.714,10.424,1426.7,4400.0,86.7467
HD 11964 c,25.0,5.38,,5303.0,33.5369
CoRoT-6 b,940.74,13.068,1017.0,6090.0,645.294
WASP-31 b,151.916,17.363,1423.7,6302.0,383.829
HD 108236 f,4.72,2.017,,5660.0,64.5978
Kepler-59 c,3.81,1.98,752.0,6074.0,1163.22
WASP-8 c,3003.37,12.5,,5690.0,89.9606
HD 154857 c,819.97,13.2,,5605.0,63.4482
KOI-217 b,,12.442,1046.0,5545.0,914.699
Kepler-416 b,58.2,2.48,986.0,5718.0,690.819
Kepler-37 e,8.1,0.37,401.0,5288.0,63.9207
HAT-P-22 b,785.0401,12.89035,1463.0,5302.0,81.7647
CHXR 73 b,3994.486,12.3,,3099.0,190.374
FU Tau b,5085.28,12.2,2375.0,2838.0,133.4950466
GJ 667 C b,5.68,2.25,,3350.0,7.24396
HD 187123 b,166.218,14.2,,5790.0,45.9548
HAT-P-18 b,62.61,11.153,852.0,4803.0,161.4
Kepler-59 b,4.1,1.1,864.0,6074.0,1163.22
Kepler-53 b,111.0,2.89,701.0,5858.0,1366.07
HD 82943 c,622.603,13.4,,5935.0,27.5902
HD 82943 b,534.25,13.5,,5935.0,27.5902
UZ For b,2002.2,,,5286.9,239.60387482
Kepler-69 b,5.65,2.24,779.0,5638.0,730.625
HIP 5158 c,4780.1632,12.2,,4813.0,51.6026
HU Aqr AB b,1875.197,12.8,,5952.0,192.19807871
Kepler-58 c,53.0,2.86,799.0,5843.0,969.252
Kepler-30 b,11.3,3.9,524.0,5498.0,914.221
Kepler-65 d,4.14,1.52,1117.0,6211.0,303.728
Kepler-52 c,45.4,1.84,433.0,4075.0,321.542
Kepler-55 b,43.0,2.43,400.0,4362.0,578.796
UZ For c,2447.2,,,5286.9,239.60387482
Kepler-413 b,67.0,4.347,,4700.0,847.536
WASP-14 b,2809.6172,15.46842,1872.0,6475.0,161.997
HAT-P-2 b,2866.81223114,10.659759,1540.0,6380.0,127.774
HAT-P-42 b,331.801,14.348,1428.0,5743.0,405.238
WASP-59 b,274.276,8.687,670.0,4650.0,115.936
HAT-P-39 b,190.372,17.609,1752.0,6430.0,697.004
alf Ari b,572.07,13.4,,4553.0,20.21019
KOI-55 b,0.44,0.759,,27730.0,1231.02
GJ 536 b,6.37,2.41,451.0,3641.0,10.4092
WTS-2 b,355.9696,15.277867,2000.0,5000.0,1030.76834437
KELT-6 c,1179.1493,13.0,,6272.0,240.726
KOI-55 c,0.655,0.867,,27730.0,1231.02
Ross 458 c,1906.98,14.01125,,3965.42,11.5094
Kepler-38 b,122.0,4.3,475.0,5623.0,1174.59
HAT-P-13 b,270.462,14.258,1740.0,5653.0,246.81
ROXs 42 B b,2860.0,12.5,1975.0,3433.0,143.59
HD 95086 b,1589.0,12.9,1000.0,7595.0,86.2279
RR Cae b,1334.886,13.0,,3904.0,21.1916
Kepler-50 c,8.2,2.17,1125.0,6225.0,250.11
HD 233604 b,2089.644,12.7,,4791.0,847.058
WD 0806-661 b,2542.627256,12.6,340.0,9552.0,19.2444
Kepler-63 b,120.0,6.11,791.0,5576.0,194.033
Kepler-77 b,136.661,10.761,1440.0,5520.0,639.411
HATS-5 b,75.323,10.223,1025.0,5304.0,246.384
HD 10180 d,3295.88058059,,,5911.0,38.9607
WTS-1 b,1274.44,16.7,1500.0,6250.0,2346.01
Kepler-297 c,42.1,6.54,409.0,5619.0,692.14
Kepler-347 b,4.54,1.97,908.0,6088.0,1298.88
CoRoT-26 b,165.26,14.12,1600.0,5590.0,1045.18
CoRoT-25 b,85.81,12.11,1330.0,6040.0,1103.48
Kepler-186 b,1.24,1.07,571.0,3788.0,177.594
91 Aqr b,1017.0,13.1,,4665.0,44.0304
GJ 163 b,10.6,3.25,,3500.0,15.1285
Kepler-27 c,4385.87,4.9,481.0,5400.0,1044.36
Kepler-27 b,2895.31,4.0,610.0,5400.0,1044.36
Kepler-139 c,13.0,3.38,350.0,5594.0,391.038
Kepler-311 c,2.63,1.43,744.0,5905.0,778.654
BD-06 1339 b,1523.03372634,,,4324.0,20.2695
Kepler-186 d,2.54,1.4,379.0,3788.0,177.594
Kepler-11 d,7.3,3.12,653.0,5663.0,646.346
Kepler-11 b,1.9,1.8,849.0,5663.0,646.346
Kepler-31 c,1493.7,5.3,615.0,6340.0,1664.64
Kepler-32 c,158.9,2.0,451.0,3900.0,323.847
Kepler-1735 b,1.84,1.19429134,502.0,3975.0,245.303
HD 66141 b,1906.9,12.8,,4323.0,68.1509
HD 208527 b,3146.4,12.5,,4035.0,312.202
MOA-bin-1L b,1200.0,13.0,,,5100.0
GU Psc b,3591.3,14.179,1050.0,4031.81,47.5501
GJ 163 c,6.8,2.5,,3500.0,15.1285
GJ 163 d,29.4,5.92,,3500.0,15.1285
Kepler-32 d,39.9089,2.7,328.0,3900.0,323.847
Kepler-31 d,2161.244,3.9,484.0,6340.0,1664.64
HAT-P-45 b,283.492,15.984,1652.0,6330.0,298.64
MOA-2010-BLG-073L b,3500.0,12.4,,,2800.0
HAT-P-27 b,197.05,11.43,1091.99,5316.0,199.173
DENIS-P J082303.1-491201 b,9057.77,11.9,,,20.77
HIP 63242 b,2917.56,12.5,,4830.0,156.456
Kepler-31 b,36.7418,5.5,781.0,6340.0,1664.64
Kepler-32 f,969.228,0.82,1026.0,3900.0,323.847
Kepler-58 d,245.343,2.94,583.0,6099.0,969.252
Kepler-158 b,5.14,2.12,500.0,4623.0,315.177
Kepler-424 c,2215.18,12.7,,5460.0,698.646
KMT-2023-BLG-1896L b,16.35,4.19,,,5490.0
HD 190984 b,1137.82569706,13.0,,5988.0,148.187
Kepler-134 c,2.13,1.26,892.0,5983.0,334.797
Kepler-210 b,8.96,2.94,737.0,4559.0,232.75
Kepler-422 b,136.66,12.89,1028.0,5972.0,722.795
Kepler-426 b,108.06,12.22,1300.0,5725.0,843.695
Kepler-16 b,105.833,8.4493,,4450.0,75.0852
KOI-94 d,106.0,11.27,806.0,6182.0,477.052
KOI-94 b,10.5,1.71,1486.0,6182.0,477.052
Kepler-35 b,40.363,8.16,,5606.0,1819.17
HD 103774 b,116.0,13.3,,6489.0,56.4089
HD 109271 b,17.162,4.31,,5783.0,55.8716
Kepler-415 c,4.7,2.01,543.0,4362.0,530.487
HD 50554 b,1859.29618095,12.8,,5987.0,31.1664
Kepler-428 b,403.63,12.11,1070.0,5150.0,686.284
Kepler-425 b,79.45,10.962,1070.0,5170.0,646.647
WASP-70 A b,187.512,13.047,1387.0,5763.0,222.355
KOI-94 e,35.0,6.56,584.0,6182.0,477.052
Kepler-396 c,17.9,5.3,390.0,5656.0,223.757
MOA-2010-BLG-477L b,480.0,13.6,,5950.0,2300.0
Kepler-290 c,7.75,2.7,437.0,5147.0,694.627
Kepler-290 b,5.69,2.25,594.0,5147.0,694.627
HD 166724 b,1207.7479466,13.0,,5127.0,45.1342
Kepler-122 f,36.0,1.75,543.0,5917.0,1027.45
Kepler-96 b,8.46,2.67,711.0,5690.0,122.881
KOI-13 b,2949.4624,16.948008,2550.0,7650.0,519.096
Kepler-17 b,778.65,14.68,1570.0,5781.0,720.753
Kepler-784 b,3.12,1.58,688.0,5674.0,1303.72
Kepler-880 b,7.56,2.66,1622.0,6761.0,601.324
CoRoT-23 b,889.9,11.77,1660.0,5900.0,1060.97
BD+20 274 b,1334.886,13.0,,4296.0,1322.51
HD 219415 b,317.83,13.8,,4820.0,165.184
HD 150706 b,772.32302901,13.3,,5961.0,28.2697
OGLE-2011-BLG-0251L b,170.0,14.2,,,2570.0
Kepler-414 c,29.9,3.01,890.0,5536.0,413.46
HAT-P-1 b,166.86075,14.784671,1322.0,5980.0,158.979
Kepler-42 c,60.337,0.73,720.0,3068.0,40.0595
Kepler-33 c,0.39,3.2,1009.0,5904.0,1209.16
Kepler-641 b,4.08,1.85,926.0,5713.0,969.918
Kepler-410 A b,8.44,2.838,866.0,6273.0,147.527
Kepler-314 c,8.75,2.9,890.0,5378.0,268.881
Kepler-879 b,7.13,2.57,580.0,5792.0,802.672
Kepler-865 b,6.76,2.49,694.0,5570.0,586.137
Kepler-415 b,119.9,1.21,694.0,4362.0,530.487
Kepler-338 e,8.5,1.56,1143.0,5999.0,552.798
Kepler-33 e,5.57,4.02,752.0,5904.0,1209.16
Kepler-33 b,3.68,1.74,1336.0,5904.0,1209.16
Kepler-46 c,119.499,13.5,455.0,5155.0,777.06
Kepler-318 b,19.9,4.71,1039.0,5746.0,489.141
Kepler-314 b,0.498,0.83,1195.0,5378.0,268.881
Kepler-46 b,1907.0,9.057,543.0,5155.0,777.06
USco CTIO 108 b,4449.62,12.3,,2700.0,144.019
Kepler-130 c,8.75,2.9,683.0,5879.0,316.663
Kepler-418 b,349.6112477,13.45,434.0,5820.0,1002.53
Kepler-33 f,9.6,4.46,691.0,5904.0,1209.16
Kepler-33 d,3.91,5.35,853.0,5904.0,1209.16
HD 155358 c,261.0,13.9,,5900.0,43.6197
Kepler-52 b,135.0,2.1,553.0,4075.0,321.542
Kepler-603 c,34.5,6.5,401.0,5808.0,1539.63
Kepler-952 b,45.4,7.65,369.0,5730.0,1304.25
Kepler-347 c,3.71,1.75,705.0,6088.0,1298.88
Kepler-158 c,4.27,1.9,418.0,4623.0,315.177
HAT-P-53 b,471.65972,14.773462,1778.0,5956.0,666.802
HIP 74890 b,762.792,13.3,,4850.0,78.6562
V0391 Peg b,1017.056,13.1,,29300.0,1195.98
HD 197037 b,251.0,13.9,,6150.0,33.1944
CFBDSIR J145829+101343 b,3337.1,12.4,370.0,580.5,23.1
Kepler-269 b,6.66,2.47,1007.0,5847.0,2257.32
Kepler-300 c,5.69,2.25,516.0,5986.0,1098.45
Kepler-149 d,14.9,3.96,306.0,5381.0,571.034
Kepler-124 d,1.41,1.11,428.0,4984.0,420.046
Kepler-276 d,16.3,2.8,489.0,5693.0,1144.86
Kepler-114 c,2.8,1.6,507.0,4660.0,259.533
XO-2 S c,435.409,13.6,,5399.0,151.398
Kepler-93 c,954.0,,,5669.0,95.9115
WASP-83 b,95.349,11.65736,1120.0,5510.0,271.103
WASP-89 b,1875.197,11.65736,1120.0,5130.0,290.946
Kepler-402 c,3.05,1.56,1140.0,6090.0,625.339
Kepler-157 b,2.3,1.32,1546.0,5774.0,773.713
HATS-6 b,101.38777,11.186582,712.8,3724.0,169.318
Kepler-450 c,12.5,2.62,944.0,6197.21,455.982
Kepler-81 c,4.3,2.37,502.0,4385.0,348.291
Kepler-412 b,299.07803,15.031269,1850.0,5750.0,1086.24
Kepler-92 b,64.3,3.51,975.0,5883.0,477.992
Kepler-288 c,8.5,2.85,815.0,5918.0,1194.15
Kepler-295 b,1.98,1.22,741.0,5603.0,1699.19
Kepler-178 d,14.8,3.95,392.0,5676.0,716.025
Kepler-44 b,317.82,12.22,1544.0,5800.0,1188.0
Kepler-41 b,177.98,14.46,1790.0,5750.0,1093.08
Kepler-450 d,17.6,0.837,1199.0,6197.21,455.982
POTS-1 b,734.16,10.548,,4400.0,747.959
Kepler-350 d,14.9,2.8,782.0,6492.3,956.859
Kepler-238 f,13.5,2.0,568.0,5800.0,1798.75
Kepler-287 c,66.0,3.26,513.0,5806.0,835.86
Kepler-285 b,2.36,1.34,1131.0,5411.0,824.31
Kepler-181 b,2.15,1.27,1041.0,5333.0,609.283
Kepler-1398 c,1.08,1.03,1324.0,6126.0,852.204
Kepler-963 b,7.56,2.66,802.0,5461.0,771.494
WASP-24 b,394.1092,15.46842,1772.0,6075.0,322.114
WASP-21 b,95.345,11.99,1333.0,5800.0,258.426
TOI-237 b,2.67,1.44,388.0,3212.0,38.0749
K2-237 b,434.15360396,16.06246934,1759.0,6180.0,314.995
Kepler-284 b,5.65,2.24,686.0,5615.0,1031.95
Kepler-654 b,4.94,2.07,831.0,5865.0,974.124
Kepler-199 c,10.6,3.25,420.0,5644.0,521.054
Kepler-214 b,7.32,2.61,758.0,6169.0,1208.44
Kepler-87 b,324.2,13.49,478.0,5600.0,1232.9
Kepler-75 b,3209.9,11.77,767.0,5200.0,835.356
Kepler-74 b,200.22,10.76,1078.0,6000.0,1177.55
Kepler-145 c,79.4,4.32,709.0,6022.0,566.85
Kepler-328 b,28.5,2.3,602.0,6064.0,2213.19
Kepler-115 c,7.27,2.6,960.0,5979.0,623.609
Kepler-341 c,3.53,1.7,940.0,6012.0,1047.03
Kepler-225 b,1.87,1.2,579.0,3682.0,561.101
Kepler-871 b,13.5,3.74,640.0,5993.0,1976.05
Kepler-56 c,181.0,9.8,1087.0,4840.0,912.994
XO-5 b,378.2,12.78,1230.0,5430.0,276.211
Kepler-447 b,435.41,18.49,882.0,5493.0,268.041
Kepler-216 b,6.12,2.35,1069.0,6091.0,1187.47
Kepler-259 c,7.75,2.7,530.0,5938.0,1002.14
Kepler-293 b,9.64,3.07,657.0,5804.0,974.633
Kepler-291 b,5.31,2.16,1212.0,6002.0,1786.48
Kepler-242 c,4.66,2.0,613.0,5020.0,600.241
Kepler-240 b,2.45,1.37,864.0,4985.0,746.927
Kepler-56 b,22.1,6.51,1378.0,4840.0,912.994
WASP-16 b,394.1092,13.67498,1389.0,5700.0,194.134
WASP-17 b,247.9074,20.96083,1755.0,6550.0,405.908
WASP-18 b,3241.8497514,13.89913607,2429.0,6432.0,123.483
HAT-P-54 b,241.5508,10.581296,818.0,4390.0,143.651
Kepler-148 c,12.6,3.6,957.0,5272.0,791.163
Kepler-179 b,3.33,1.64,1075.0,5302.0,605.68
Kepler-303 b,0.64,0.89,802.0,3944.0,209.738
Kepler-260 b,4.7,2.01,782.0,5250.0,627.365
Kepler-226 b,24.0,1.55,1018.0,5571.0,980.138
WASP-26 b,270.1555,13.56289,1650.0,6034.0,252.759
WASP-33 b,665.21819,17.855937,2781.7,7430.0,121.944
HATS-14 b,340.39593,11.646151,1276.0,5346.0,513.011
Kepler-1162 b,5.52,2.21,490.0,5390.0,940.211
Kepler-1126 b,3.64,1.73,374.0,5798.0,635.736
Kepler-165 c,5.6,2.23,581.0,5211.0,560.885
Kepler-197 d,1.98,1.22,810.0,6004.0,330.575
Kepler-125 b,6.21,2.37,590.0,3810.0,183.365
Kepler-306 c,6.12,2.35,716.0,4954.0,775.679
KOI-351 e,7.56,2.66,450.0,6080.0,848.254
KOI-351 c,1.81,1.19,987.0,6080.0,848.254
Kepler-222 c,19.4,4.64,734.0,5433.0,758.854
Kepler-184 d,6.76,2.49,559.0,5788.0,610.326
Kepler-309 b,3.05,1.56,531.0,4713.0,544.568
Kepler-696 b,31.3,6.14,1234.0,5903.0,1416.44
Kepler-11 f,2.0,2.49,513.0,5663.0,646.346
Kepler-11 e,8.0,4.19,582.0,5663.0,646.346
Kepler-11 g,25.0,3.33,376.0,5663.0,646.346
Kepler-166 c,6.26,2.38,468.0,5413.0,603.53
Kepler-275 b,6.08,2.34,1015.0,6165.0,2034.25
Kepler-1298 b,2.27,1.31,1373.0,6339.0,544.163
Kepler-11 c,2.9,2.87,786.0,5663.0,646.346
WASP-57 b,204.68252,11.76945,1338.0,5600.0,398.276
HAT-P-50 b,429.0705,14.437192,1862.0,6280.0,515.458
MOA-2008-BLG-379L b,1300.0,13.0,,,3300.0
HD 13908 b,274.91,13.9,,6255.0,79.5515
Kepler-108 b,56.0,8.65,669.0,5854.0,338.732
Kepler-264 b,11.1,3.33,772.0,6158.0,942.173
Kepler-279 b,4180.93,3.62,1104.0,6363.0,1037.4
Kepler-286 c,2.45,1.37,1098.0,5580.0,1226.85
GJ 667 C c,3.8,1.77,,3350.0,7.24396
HD 13908 c,1630.4,12.8,,6255.0,79.5515
HD 159243 b,359.13,13.7,,6123.0,73.3055
Kepler-261 b,5.39,2.18,672.0,5098.0,317.499
HIP 57274 c,130.0,14.2,,4640.0,25.8618
Kepler-292 d,5.6,2.23,808.0,5299.0,1056.48
GJ 667 C f,2.7,1.45,,3350.0,7.24396
HD 73526 c,715.09,13.3,,5601.0,97.2396
HD 106906 b,3496.0,12.4,1800.0,6516.0,103.029
Kepler-119 b,12.6,3.6,1213.0,5595.0,701.996
HD 220074 b,5288.6912,12.2,,3787.0,324.54
Kepler-343 b,6.39,2.41,1024.0,5807.0,927.193
Kepler-282 d,61.0,2.46,588.0,5656.0,1337.61
Kepler-619 b,10.1,3.16,1073.0,5980.0,900.678
Kepler-656 b,9.91,3.12,1569.0,5281.0,890.352
Kepler-273 b,2.86,1.5,1209.0,5626.0,713.964
Kepler-677 b,25.0,5.38,1015.0,5723.0,1954.08
Kepler-306 b,2.92,1.52,830.0,4954.0,775.679
Kepler-267 d,5.77,2.27,301.0,4258.0,264.993
DP Leo b,1995.88832,12.7,,13500.0,305.684
Kepler-20 g,19.96,4.71,524.0,5495.0,282.563
Kepler-19 c,13.1,3.68,,5544.0,218.562
HAT-P-34 b,1058.3739,13.417173,1520.0,6442.0,249.325
Kepler-549 c,8.91,2.93,349.0,5360.0,635.145
Kepler-603 d,2.3,1.32,1098.0,5808.0,1539.63
WASP-37 b,572.07,13.002,1232.5,5800.0,392.791
WASP-90 b,200.2329,18.27067,1840.0,6430.0,466.433
K2-26 b,7.61,2.67,430.0,3785.0,99.0504
Kepler-276 c,16.6,2.9,563.0,5693.0,1144.86
Kepler-305 b,10.5,3.6,836.0,5080.0,868.477
Kepler-266 b,6.71,2.48,1066.0,5885.0,1370.79
Kepler-121 c,5.77,2.27,425.0,5311.0,510.523
Kepler-338 d,9.27,3.0,680.0,5923.0,552.798
2MASS J01225093-2439505 b,7786.5,11.209,1600.0,3530.0,33.8281
WASP-52 b,146.2,14.24,1315.0,5000.0,174.818
WASP-75 b,340.06,14.235,1710.0,6100.0,294.001
WASP-135 b,603.877,14.5717,1403.66,5675.0,298.214
HD 20794 e,4.77,2.03,,5401.0,6.00278
HD 27894 c,51.48846,8.24,,4875.0,43.8214
Kepler-126 d,54.59018723,2.5,475.0,6239.0,237.401
Kepler-381 c,1.46,1.12,1180.0,6152.0,267.323
Kepler-249 d,3.09,1.57,332.0,3568.0,190.401
Kepler-254 d,6.8,2.5,686.0,5957.0,1389.48
Kepler-619 c,3.5,1.69,1767.0,5980.0,900.678
Kepler-1610 b,3.22,1.61,750.0,5383.0,864.331
Kepler-363 d,4.86,2.05,905.0,5593.0,762.596
Kepler-366 b,2.73,1.46,1326.0,6209.0,1856.28
Kepler-141 b,0.257,0.69,968.0,4910.0,301.183
Kepler-142 d,5.31,2.16,582.0,5790.0,548.686
Kepler-400 b,3.36,1.65,939.0,5886.0,845.97
Kepler-204 c,3.86,1.79,683.0,5812.0,686.723
WASP-41 c,1010.6994,13.1,241.0,5545.0,163.371
Kepler-312 c,10.1,3.15,754.0,6115.0,797.72
Kepler-286 d,2.33,1.33,919.0,5580.0,1226.85
Kepler-91 b,257.4423,15.322703,2040.0,4550.0,1294.69
Kepler-1181 b,3.09,1.57,1374.0,6176.0,938.417
Kepler-1489 b,3.78,1.77,400.0,5655.0,1283.05
Kepler-1491 b,2.89,1.51,821.0,5728.0,2065.59
CoRoT-7 b,4.07660518,1.68135,1756.0,5275.0,159.906
HD 176986 d,6.76,2.49,363.0,4931.0,27.7843
Kepler-354 b,4.04,1.84,741.0,4648.0,554.064
Kepler-368 b,10.7,3.26,800.0,5502.0,770.978
Kepler-135 b,3.93,1.81,1209.0,6090.0,621.855
Kepler-383 b,2.3,1.32,545.0,4710.0,470.0
HAT-P-66 b,248.86089,17.82231,1896.0,6002.0,935.456
WASP-118 b,163.36462,16.14096,1729.0,6410.0,376.658
WASP-7 b,305.1168,14.90797,1487.0,6400.0,162.303
XO-4 b,451.3186,14.01125,1630.0,6397.0,272.655
KELT-2 A b,540.311,15.13215,2080.0,6327.0,134.058
K2-30 b,184.02357,11.646151,1092.0,5425.0,333.042
WASP-101 b,162.0933,16.02887,1560.0,6380.0,201.224
Kepler-104 c,7.14430805,3.13,668.0,5711.0,400.785
Kepler-369 c,2.57,1.41,391.0,3591.0,214.0
